exp,checkpoint,checkpoint_file,episode,d_x,n_layers,n_heads,selection_mode,gamma,min_explainable_frac,n_causal,causal_damage_tau,causal_max_keep,ell,s,hidden_s,candidate_rank,participation_rank,entropy_rank,val_total_norm,val_explainable_frac,val_capture,val_resid_ratio,val_full_resid_ratio,top_singular_values_json,causal_max_damage,causal_mean_damage,causal_min_kept_damage,causal_sum_kept_damage,causal_selected_indices_json,causal_damages_json
2b,dx3,model_dx3.pt,0,3,8,4,causal,0.95,0.001,8,0.01,0,0.0,3.0,3.0,3.0,2.7774008554978096,2.8734130900859163,7011.159187980721,0.9999986282127878,1.0,0.0011712332014334988,0.0011712332014334988,"[3054.949589785156, 2859.019574857992, 2114.2233311660607, 2.0422389138897157, 1.6233331790101542, 1.546200462444437, 1.4235380345012447, 1.2260446048376916]",4.973161457378627,2.3994566771416985,0.7094645888085334,7.198370031425096,"[0, 1, 2]","[4.973161457378627, 1.5157439852379362, 0.7094645888085334]"
2b,dx3,model_dx3.pt,0,3,8,4,causal,0.95,0.001,8,0.01,0,1.0,1.0,12.0,16.0,5.479163773806252,8.248484303161035,10.239149920886613,0.805735942823467,0.95306143485859,0.4817511247682865,0.4407539644478805,"[3.647892119418235, 3.1498430999847544, 2.783731669364093, 1.7223410159932317, 1.3529530723337815, 1.134545241302045, 1.1232711942249038, 1.0546336812015593]",0.1744850748777259,0.014269964072815807,0.1744850748777259,0.1744850748777259,[1],"[0.006533171011719501, 0.1744850748777259, 0.003237486741737847, 0.009413855530337476, 0.003069437955929058, 0.003583157478029097, 0.0027528151526296967, 0.0023458309139665445, 0.0019548063760471907, 0.0036604788215116642, 0.001527288136293007, 0.0040533652753050094, 0.002669647061866046, 0.0030269431603944233, 0.003660153999789777, 0.002345912671770658]"
2b,dx3,model_dx3.pt,0,3,8,4,causal,0.95,0.001,8,0.01,0,2.0,0.0,13.0,16.0,4.958368663291251,8.111763957256342,8.399592158705568,0.8199492474896654,0.9653016229041147,0.45661982074718427,0.4243238769033868,"[3.4646290257639603, 2.9612852739287296, 1.698280615257579, 1.4360509804321746, 1.233945959364466, 1.1561088357610498, 1.0649538602955844, 0.9555875406205395]",0.007444702541729788,0.0023707026989331827,0.0,0.0,[],"[0.007444702541729788, 0.0030429902945726234, 0.005754761464188266, 0.002793619186541858, 0.0012895338080095831, 0.0018607065045723851, 0.0017945187488090097, 0.0016907863228217911, 0.00272590088760778, 0.0008197863062706587, 0.0019790014671523643, 0.0014050065504799196, 0.0010984854131394284, 0.001169537190731551, 0.0019042514370393923, 0.0011576550592645235]"
2b,dx3,model_dx3.pt,0,3,8,4,causal,0.95,0.001,8,0.01,0,3.0,0.0,12.0,16.0,4.565175143395925,7.618304656713938,8.45059670679433,0.8323849102309269,0.9526654517439616,0.45498972897195156,0.40940821898083485,"[3.6289535503054187, 2.6753575940249035, 1.8984254361370343, 1.3193509012792228, 1.137704206796837, 1.0981976661469388, 1.0422962648977543, 0.9355918614284463]",0.009839645194533769,0.0022652819121386815,0.0,0.0,[],"[0.009839645194533769, 0.002714095936039649, 0.006443398301626741, 0.0021460199383508995, 0.0013737265883559003, 0.0010557517525373893, 0.0014485188044799412, 0.0007661584896697515, 0.0014360708900346003, 0.0008019182920616865, 0.002544741981485269, 0.0012914090628602089, 0.0010841171458272016, 0.0006381246250645617, 0.00133200085032665, 0.0013288127409646876]"
2b,dx3,model_dx3.pt,0,3,8,4,causal,0.95,0.001,8,0.01,0,4.0,0.0,14.0,16.0,6.1095474765908895,9.859450441833266,8.526820689819763,0.811141225550253,0.9712421221692698,0.4606359459677055,0.43457884721846884,"[3.4172417071722174, 2.61492866092338, 2.1184386378015727, 1.4879753599591503, 1.435357697401548, 1.282422621104979, 1.1261881961680376, 1.0378084855627705]",0.008325399460313737,0.0018865321945857423,0.0,0.0,[],"[0.008325399460313737, 0.0026036759233621035, 0.006027016043912487, 0.0008102992442033222, 0.0014550957916270554, 0.0008596190643528565, 0.0014314551902797688, 0.0007227408633067902, 0.0006204034326804357, 0.000595203101666525, 0.0007060762713795234, 0.0007379638835334771, 0.0018726853774527338, 0.0017221555554265435, 0.0007967209020076851, 0.00089800500786683]"
2b,dx3,model_dx3.pt,0,3,8,4,causal,0.95,0.001,8,0.01,0,5.0,1.0,8.0,16.0,3.0374099665764724,5.820616467062412,12.917251782017969,0.9119114220775588,0.9501467822254328,0.3654453401514067,0.29679719999089466,"[6.212518207692113, 3.115871621149473, 2.5013147561679574, 1.692258172582847, 1.4465064458631482, 1.3548273921223062, 1.2798681236467062, 1.1164518521238418]",0.13943560587248038,0.00975521230712853,0.13943560587248038,0.13943560587248038,[0],"[0.13943560587248038, 0.0017543320072916603, 0.0016241115741812125, 0.001448591190433612, 0.0007639494718715658, 0.001694366987161827, 0.0007358596914459965, 0.0016489536956290408, 0.0004216550899886556, 0.0006774485155405086, 0.0007113865006851733, 0.0007150096558202095, 0.0008435828227553501, 0.001194517085308882, 0.0016109896349767677, 0.0008030371184856408]"
2b,dx3,model_dx3.pt,0,3,8,4,causal,0.95,0.001,8,0.01,0,6.0,1.0,8.0,16.0,2.688721020504555,5.2094444547522745,13.45610591670268,0.9146261958772235,0.954149005974828,0.35680572356003226,0.29218796026320276,"[6.779961211717267, 3.1189581308464063, 2.4819647919999213, 1.6841758912074403, 1.4476946809205142, 1.3368050604611739, 1.2982894395198543, 1.1259893967237184]",0.1625135557398315,0.011098466173675377,0.1625135557398315,0.1625135557398315,[0],"[0.1625135557398315, 0.001889093208565467, 0.0012099150656374018, 0.0012324532065627518, 0.0006991012752516644, 0.0016880279084762414, 0.000597415056921262, 0.0016586776692058972, 0.0004920822642457152, 0.0008088837771684254, 0.0004908616732971291, 0.0005891847810305348, 0.0007063208175738407, 0.0012148367247063628, 0.000987903751192671, 0.0007971458591391604]"
2b,dx3,model_dx3.pt,0,3,8,4,causal,0.95,0.001,8,0.01,0,7.0,0.0,13.0,16.0,4.877709750303671,8.524223888960954,11.153316686896119,0.8349400517176284,0.9557236305726632,0.44947531907979704,0.40627570476508146,"[4.804439738282413, 3.1066277897915846, 2.4751175209739946, 1.7868094531792384, 1.6311423540674221, 1.5122344142572492, 1.4140237114079788, 1.2541768984658388]",0.00773623708852444,0.0012926276122370798,0.0,0.0,[],"[0.00773623708852444, 0.0015937064625053477, 0.0009275929757767669, 0.0010636035207842144, 0.0005818188938210975, 0.0007099226031006665, 0.0008601273349809287, 0.001316656068669917, 0.00036886603797076334, 0.0008821737141246863, 0.0006413112116784325, 0.000615882310703346, 0.00042962961821453875, 0.0012176298654229774, 0.0008342995068984226, 0.0009025845826167303]"
2b,dx3,model_dx3.pt,0,3,8,4,causal,0.95,0.001,8,0.01,0,8.0,0.0,13.0,16.0,4.505262442798963,8.158158302505031,11.815689678253854,0.8407909175658784,0.9564118259096416,0.442558045144997,0.39901012823500415,"[5.246007229523892, 3.1210045360116605, 2.5187020103831728, 1.873000982485973, 1.756757305702457, 1.5614963091016325, 1.39128681826579, 1.3225974764778867]",0.0,0.0,0.0,0.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2b,dx3,model_dx3.pt,1,3,8,4,causal,0.95,0.001,8,0.01,0,0.0,3.0,3.0,8.0,2.0268569771533143,2.3224106604286385,2289.4728390211353,0.9999832595132112,0.9999979914332735,0.004330013844196538,0.004091513997141859,"[988.7677134966782, 663.7034895837805, 342.94325451659665, 2.2025009210609285, 1.910128346139735, 1.6708758011948055, 1.3372469709620398, 1.2341136491341702]",1.1735724001815098,0.3156116216413472,0.2976105114815051,2.517515863727131,"[0, 1, 2]","[1.1735724001815098, 1.0463329520641167, 0.2976105114815051, 0.001333287124570393, 0.0027675836861609745, 0.001250036309537044, 0.00047399232996181564, 0.0015522099534162133]"
2b,dx3,model_dx3.pt,1,3,8,4,causal,0.95,0.001,8,0.01,0,1.0,1.0,14.0,16.0,5.721191564624858,8.107775713354135,8.609347490286137,0.6237794133256184,0.9611126430152406,0.6328330896848648,0.613368230897532,"[2.2366743320638123, 1.4773841455488423, 1.3294512157831833, 1.1692555647643368, 1.1021012701844148, 0.9225105740519339, 0.8757716773752316, 0.7900627019371194]",0.11874608125106789,0.011232530543054621,0.11874608125106789,0.11874608125106789,[0],"[0.11874608125106789, 0.0024378638442148805, 0.005850445220369662, 0.0018152326142900073, 0.007504641339875098, 0.008407159430226937, 0.0070561039632634544, 0.005213103306008242, 0.0099227138644623, 0.0016886278768792947, 0.0028544069053664796, 0.0027976746828425364, 0.002100584225466137, 0.0014487728141647361, 0.0009536936570726491, 0.0009233836933036187]"
2b,dx3,model_dx3.pt,1,3,8,4,causal,0.95,0.001,8,0.01,0,2.0,1.0,10.0,16.0,3.3209248776854747,5.590476789915687,9.872137267463664,0.8697496084457066,0.9518087292049557,0.4149273797410388,0.3609021911187063,"[2.794100262454166, 1.3568603283678466, 1.1599758379258132, 1.0019992752514073, 0.9418134571781354, 0.853925292441287, 0.7523337718125647, 0.6522809130136891]",0.06262367716929375,0.005010683317717021,0.06262367716929375,0.06262367716929375,[0],"[0.06262367716929375, 0.0004973456073079354, 0.001474635400690496, 0.001584614703570769, 0.0003610817287573089, 0.0006818690120162467, 0.0009162277995254077, 0.0020334930987681455, 0.001270194214172305, 0.0019419195828497301, 0.0012420147545660696, 0.0009622301430162864, 0.0015756444509398867, 0.0007169340540789093, 0.0013441583601712277, 0.0009448930037478686]"
2b,dx3,model_dx3.pt,1,3,8,4,causal,0.95,0.001,8,0.01,0,3.0,0.0,15.0,16.0,6.5983140593649985,8.299040917965076,5.39031620132288,0.5868304660167909,0.975566019166027,0.6538410650476053,0.6427826490993473,"[1.3461887063945703, 1.1425078239192685, 0.9815636779963841, 0.9322118838662444, 0.8434077913672366, 0.7424037697184722, 0.6438759922582272, 0.35906546460053534]",0.002031062909884694,0.001115122283036724,0.0,0.0,[],"[0.0007228026266890985, 0.0014801601511250865, 0.0013765612228211555, 0.0004231164193646579, 0.000508796469212504, 0.0012214741126689447, 0.002031062909884694, 0.0014639513600830714, 0.001971943056213028, 0.0014439944375539328, 0.0007493644332912958, 0.001198141788146958, 0.0008008692724474898, 0.0008489621941785388, 0.0008049523335593246, 0.000795803741347804]"
2b,dx3,model_dx3.pt,1,3,8,4,causal,0.95,0.001,8,0.01,0,4.0,0.0,14.0,16.0,5.939719159932931,8.262948747573729,6.028013105684293,0.6459004539296318,0.9552180407783841,0.6188895166824321,0.595062640459255,"[1.97173703935821, 1.372364480645499, 1.1932823514140334, 1.1058789095044874, 0.9404934282879013, 0.8868210807128175, 0.8178265763214911, 0.6361370707503086]",0.006872258770769377,0.0014348193696523625,0.0,0.0,[],"[0.006872258770769377, 0.0007306725805383903, 0.0005795207729045405, 0.0017941759899319154, 0.00048819295811140426, 0.00045035043490210334, 0.0006411171507830712, 0.001993702761022268, 0.000860395630878003, 0.001827240216442861, 0.0019308883967440555, 0.0014627248436149853, 0.0007776790216423919, 0.0010530469166515238, 0.0006295650208580887, 0.00086557844864282]"
2b,dx3,model_dx3.pt,1,3,8,4,causal,0.95,0.001,8,0.01,0,5.0,0.0,15.0,16.0,6.266834215893453,8.71959194747233,6.137768989435117,0.6460129138362817,0.9820523739165218,0.6046333470677064,0.5949681387802979,"[2.1158953912294445, 1.587935162073262, 1.2187717786330878, 1.179503575355794, 1.1053525583583994, 0.884156992632094, 0.8811258069439364, 0.8131786641694924]",0.008255376149332045,0.0015128173924662057,0.0,0.0,[],"[0.008255376149332045, 0.000585542095990478, 0.0007340900585102756, 0.0006550208364216366, 0.0013260132063939508, 0.0005265132324453769, 0.00046493059694150725, 0.00069394872453988, 0.0018292648785608694, 0.0011882274426209957, 0.002249322067658504, 0.0019753349230073607, 0.0011208555309807759, 0.001176878762648154, 0.0008511591438379282, 0.0005726006295695522]"
