basis,layer,rank,n,E_F_T_mean,E_F_T_std,F_T_excess_over_krr_risk_mean,F_T_excess_over_krr_risk_std,candidate_dim_mean,candidate_dim_std,layer_mean,layer_std,model_excess_over_krr_risk_mean,model_excess_over_krr_risk_std,model_signal_error_mean,model_signal_error_std,op_excess_over_krr_risk_mean,op_excess_over_krr_risk_std,op_signal_error_mean,op_signal_error_std,r_eff_T_task_mean,r_eff_T_task_std,r_eff_T_task_strict_mean,r_eff_T_task_strict_std,rank_mean,rank_std
combined,0,0,8,0.030584631914412665,0.0038540979407571587,0.02032704155964834,0.002019193129619811,23.0,0.0,0.0,0.0,22.391454350678615,6.046448017646043,0.9236156248434872,0.10354543118180905,25.892350426981665,2.7290469170624845,0.9999999999999957,3.054915096169147e-16,24.75,1.4880476182856899,47.125,0.8345229603962802,0.0,0.0
combined,0,1,8,0.030584631914412665,0.0038540979407571587,0.02032704155964834,0.002019193129619811,23.0,0.0,0.0,0.0,9.23547759991387,1.5823110850777622,0.596302039152305,0.04459102766697053,9.240014823819454,0.7218983393941469,0.5981361915373078,0.010681709082133367,24.75,1.4880476182856899,47.125,0.8345229603962802,1.0,0.0
combined,0,10,8,0.030584631914412665,0.0038540979407571587,0.02032704155964834,0.002019193129619811,23.0,0.0,0.0,0.0,1.2355812762108753,0.11467700490448497,0.21874617048089423,0.008906396351503568,1.263231853592919,0.07527757167768302,0.221347781434209,0.006826488727437303,24.75,1.4880476182856899,47.125,0.8345229603962802,10.0,0.0
combined,0,11,8,0.030584631914412665,0.0038540979407571587,0.02032704155964834,0.002019193129619811,23.0,0.0,0.0,0.0,1.145571555390827,0.12192657382476982,0.21056639519826653,0.010014864385212489,1.164330941451616,0.06855876593308766,0.21250908008269165,0.006501494769954213,24.75,1.4880476182856899,47.125,0.8345229603962802,11.0,0.0
combined,0,12,8,0.030584631914412665,0.0038540979407571587,0.02032704155964834,0.002019193129619811,23.0,0.0,0.0,0.0,1.0355505967889935,0.09525988252221282,0.200246799882157,0.007543050566815066,1.0773026265524737,0.06522318978525656,0.20439818642082913,0.006028546528836905,24.75,1.4880476182856899,47.125,0.8345229603962802,12.0,0.0
combined,0,13,8,0.030584631914412665,0.0038540979407571587,0.02032704155964834,0.002019193129619811,23.0,0.0,0.0,0.0,0.9467946227444473,0.07487595281273572,0.19158042665309533,0.007725589010389882,0.9984109182100613,0.0630338305298859,0.1967509800841432,0.005531729475515655,24.75,1.4880476182856899,47.125,0.8345229603962802,13.0,0.0
combined,0,14,8,0.030584631914412665,0.0038540979407571587,0.02032704155964834,0.002019193129619811,23.0,0.0,0.0,0.0,0.9040825945674267,0.06871652948609974,0.18728697862784238,0.009102417621885054,0.929323138438439,0.06032521844598663,0.18980631626733396,0.005092498486746017,24.75,1.4880476182856899,47.125,0.8345229603962802,14.0,0.0
combined,0,15,8,0.030584631914412665,0.0038540979407571587,0.02032704155964834,0.002019193129619811,23.0,0.0,0.0,0.0,0.8459298368692864,0.07811172636689155,0.181088190258198,0.009310056901468794,0.8684407158301072,0.05868886269134257,0.18345994358511958,0.004509878830939584,24.75,1.4880476182856899,47.125,0.8345229603962802,15.0,0.0
combined,0,16,8,0.030584631914412665,0.0038540979407571587,0.02032704155964834,0.002019193129619811,23.0,0.0,0.0,0.0,0.8023474732274517,0.08411303671557557,0.17629485820756727,0.00949847455286847,0.8166577545404466,0.058578491425063856,0.17788496107543966,0.004367704758525166,24.75,1.4880476182856899,47.125,0.8345229603962802,16.0,0.0
combined,0,17,8,0.030584631914412665,0.0038540979407571587,0.02032704155964834,0.002019193129619811,23.0,0.0,0.0,0.0,0.7535531616613425,0.09516533674659321,0.17070193097778316,0.009506646518042644,0.7759116749231161,0.06038352931170945,0.1733466151847034,0.0037454310035980928,24.75,1.4880476182856899,47.125,0.8345229603962802,17.0,0.0
combined,0,18,8,0.030584631914412665,0.0038540979407571587,0.02032704155964834,0.002019193129619811,23.0,0.0,0.0,0.0,0.7237940823441448,0.1025453251651343,0.16713925325619788,0.009241935866088721,0.7438609683174406,0.061976982788670885,0.1696902838628435,0.0033037802303515543,24.75,1.4880476182856899,47.125,0.8345229603962802,18.0,0.0
combined,0,19,8,0.030584631914412665,0.0038540979407571587,0.02032704155964834,0.002019193129619811,23.0,0.0,0.0,0.0,0.6993227453525734,0.10514575067335641,0.16423994181262386,0.009671677149800863,0.7214674747264482,0.06492226873715638,0.16706960423355915,0.002990404247169755,24.75,1.4880476182856899,47.125,0.8345229603962802,19.0,0.0
combined,0,2,8,0.030584631914412665,0.0038540979407571587,0.02032704155964834,0.002019193129619811,23.0,0.0,0.0,0.0,6.987002940576707,1.356251019768865,0.5177898504659806,0.04085698167928137,7.399658311172518,0.5269790415848206,0.5354211441975518,0.011349110261948344,24.75,1.4880476182856899,47.125,0.8345229603962802,2.0,0.0
combined,0,20,8,0.030584631914412665,0.0038540979407571587,0.02032704155964834,0.002019193129619811,23.0,0.0,0.0,0.0,0.6803344610325621,0.10003188484500339,0.1620204797814903,0.00901381401060255,0.7066896085863901,0.06761049926167496,0.16531403623189572,0.0030312911405188173,24.75,1.4880476182856899,47.125,0.8345229603962802,20.0,0.0
combined,0,21,8,0.030584631914412665,0.0038540979407571587,0.02032704155964834,0.002019193129619811,23.0,0.0,0.0,0.0,0.6747337195163985,0.10120616456069588,0.16134992003358503,0.009467918725011754,0.69909188891838,0.07084807127830986,0.16438457328133804,0.003113485295392633,24.75,1.4880476182856899,47.125,0.8345229603962802,21.0,0.0
combined,0,22,8,0.030584631914412665,0.0038540979407571587,0.02032704155964834,0.002019193129619811,23.0,0.0,0.0,0.0,0.6735216731530832,0.10155337253505349,0.1611983981893333,0.009480617128221042,0.6969316724304839,0.07120118915229907,0.1641256811734838,0.003181581610352208,24.75,1.4880476182856899,47.125,0.8345229603962802,22.0,0.0
combined,0,23,8,0.030584631914412665,0.0038540979407571587,0.02032704155964834,0.002019193129619811,23.0,0.0,0.0,0.0,0.6713322179429928,0.10116475621278491,0.16093372338139855,0.009383746824184839,0.6957642064143146,0.07120291150132713,0.16398755157110156,0.003210483347409143,24.75,1.4880476182856899,47.125,0.8345229603962802,23.0,0.0
combined,0,3,8,0.030584631914412665,0.0038540979407571587,0.02032704155964834,0.002019193129619811,23.0,0.0,0.0,0.0,5.622803335513273,1.1818106013552752,0.4643752709280181,0.04368419359809922,5.714478250549133,0.3397919006400763,0.4707350659187962,0.0127044856224701,24.75,1.4880476182856899,47.125,0.8345229603962802,3.0,0.0
combined,0,4,8,0.030584631914412665,0.0038540979407571587,0.02032704155964834,0.002019193129619811,23.0,0.0,0.0,0.0,4.085420752420431,0.7828297614789357,0.3966827007709058,0.040148235394650504,4.258901945696563,0.23534844846780156,0.40648295184547084,0.012929429811070403,24.75,1.4880476182856899,47.125,0.8345229603962802,4.0,0.0
combined,0,5,8,0.030584631914412665,0.0038540979407571587,0.02032704155964834,0.002019193129619811,23.0,0.0,0.0,0.0,2.7728692481164003,0.49482602580506485,0.3271421247183778,0.030701922229252405,2.9395257743087404,0.19415999290695313,0.33759405697531075,0.010416990078833765,24.75,1.4880476182856899,47.125,0.8345229603962802,5.0,0.0
combined,0,6,8,0.030584631914412665,0.0038540979407571587,0.02032704155964834,0.002019193129619811,23.0,0.0,0.0,0.0,1.7398965888393079,0.29318475852306025,0.25880141969513937,0.01470357512144748,1.776288040208643,0.12453698092663326,0.2624788061197987,0.010470607280535192,24.75,1.4880476182856899,47.125,0.8345229603962802,6.0,0.0
combined,0,7,8,0.030584631914412665,0.0038540979407571587,0.02032704155964834,0.002019193129619811,23.0,0.0,0.0,0.0,1.6039921566023,0.2635080271347234,0.24848086250631585,0.012877953526520651,1.6262240262536976,0.10667534634252204,0.25115826820970577,0.009423001864566133,24.75,1.4880476182856899,47.125,0.8345229603962802,7.0,0.0
combined,0,8,8,0.030584631914412665,0.0038540979407571587,0.02032704155964834,0.002019193129619811,23.0,0.0,0.0,0.0,1.463934661846955,0.17819486547890076,0.23782993481802367,0.009946011287076267,1.4915625586441554,0.09615657413864953,0.24052158359614934,0.008422747678462536,24.75,1.4880476182856899,47.125,0.8345229603962802,8.0,0.0
combined,0,9,8,0.030584631914412665,0.0038540979407571587,0.02032704155964834,0.002019193129619811,23.0,0.0,0.0,0.0,1.3545149776182577,0.16135920462874417,0.2287445645816532,0.008653266979317774,1.3737173626229522,0.08420123044582026,0.23082849879442857,0.007579227228839843,24.75,1.4880476182856899,47.125,0.8345229603962802,9.0,0.0
combined,1,0,8,0.030584631914412665,0.0038540979407571587,0.02032704155964834,0.002019193129619811,48.625,2.1339098923270936,1.0,0.0,22.391454350678615,6.046448017646043,0.9236156248434872,0.10354543118180905,25.892350426981665,2.7290469170624845,0.9999999999999957,3.054915096169147e-16,24.75,1.4880476182856899,47.125,0.8345229603962802,0.0,0.0
combined,1,1,8,0.030584631914412665,0.0038540979407571587,0.02032704155964834,0.002019193129619811,48.625,2.1339098923270936,1.0,0.0,9.228118070542287,1.5779663693405934,0.5960760372484855,0.04453102503245644,9.232279528176566,0.7213000642604608,0.597886034625158,0.010695133562460043,24.75,1.4880476182856899,47.125,0.8345229603962802,1.0,0.0
combined,1,10,8,0.030584631914412665,0.0038540979407571587,0.02032704155964834,0.002019193129619811,48.625,2.1339098923270936,1.0,0.0,1.0196335015631526,0.08332180444199432,0.1988782953782562,0.009793119281856728,1.0338035769323568,0.06102102124489214,0.20039446571152603,0.010194246978465726,24.75,1.4880476182856899,47.125,0.8345229603962802,10.0,0.0
combined,1,11,8,0.030584631914412665,0.0038540979407571587,0.02032704155964834,0.002019193129619811,48.625,2.1339098923270936,1.0,0.0,0.8578328529406285,0.08222482324869435,0.18242743633782538,0.011401708772806418,0.900509145600104,0.048421368835360995,0.18707232026448875,0.009928026825625304,24.75,1.4880476182856899,47.125,0.8345229603962802,11.0,0.0
