episode,probe_kind,method,operator_kind,rank,point_model_to_T,point_operator_to_T,point_model_to_operator,E_model_to_T,E_model_to_operator,E_operator_to_T,E_model_to_zero,E_zero_to_T,R_use,R_sub,X_use,X_sub,cos_res,basis_source,nominal_rank,response_basis_probe_kind,control,actlr_fit_probe_kind
0,isotropic,raw,galerkin_main,9,0.07301471096269083,0.2579938785997683,0.3268098960963894,0.26993775220687416,0.993868013109522,0.9722913020763306,1.0457543404010246,0.9999999999999898,0.9503838279336658,0.9722913020753682,0.0967705796021523,0.05464962390858519,-0.962538214840483,raw,9,,,
0,isotropic,resp,galerkin_main,9,0.07301471096269083,0.5558274276235227,0.6027960386382227,0.26993775220687416,1.0248533817052397,0.9798142720994721,1.0457543404010246,0.9999999999999898,0.9800135099714241,0.9798142720985022,0.03957352027348937,0.03996399219208224,-0.9647280077325996,response,9,label,,
0,isotropic,raw_euclidean,galerkin_control,9,0.07301471096269083,0.06602639841886564,0.10515450463142631,0.26993775220687416,0.9374657224271289,0.9284847943572784,1.0457543404010246,0.9999999999999898,0.896449277051754,0.9284847943563593,0.19637869367338756,0.13791598664902915,-0.9581894316225832,raw,9,,euclidean_svd,
0,isotropic,resp_euclidean,galerkin_control,9,0.07301471096269083,0.8678089340175625,0.8501967276699908,0.26993775220687416,1.4283372088004958,1.3385444672928706,1.0457543404010246,0.9999999999999898,1.365843921098518,1.3385444672915456,-0.8655296168017748,-0.7917012909168077,-0.9830524882657844,response,9,label,euclidean_svd,
0,isotropic,raw_random,galerkin_control,9,0.07301471096269083,0.8108741219463264,0.7446148917730729,0.26993775220687416,1.2268208921463273,1.2624086250968956,1.0457543404010246,0.9999999999999898,1.1731444420060397,1.2624086250956459,-0.3762678818096623,-0.593675536715879,-0.9768846047408586,raw,9,,random_A_orthonormal,
0,isotropic,resp_random,galerkin_control,9,0.07301471096269083,1.0470372686636864,1.117776591725588,0.26993775220687416,1.4393584430485287,1.3851556929512998,1.0457543404010246,0.9999999999999898,1.3763829490730957,1.3851556929499287,-0.8944300224991519,-0.9186562937115972,-0.9824629569745237,response,9,label,random_A_orthonormal,
0,isotropic,raw_poly_y,galerkin_control,2,0.07301471096269083,0.6237637263587913,0.6689392532204741,0.26993775220687416,1.005760292203987,0.968515849703034,1.0457543404010246,0.9999999999999898,0.9617557903870019,0.9685158497020753,0.07502579965707334,0.06197704887586719,-0.9633099146287897,raw,9,,single_seed_polynomial_y,
0,isotropic,resp_poly_y,galerkin_control,2,0.07301471096269083,0.6237637263587913,0.6689392532204741,0.26993775220687416,1.005760292203987,0.968515849703034,1.0457543404010246,0.9999999999999898,0.9617557903870019,0.9685158497020753,0.07502579965707334,0.06197704887586719,-0.9633099146287897,response,9,label,single_seed_polynomial_y,
0,isotropic,raw_shuffled_labels,galerkin_control,9,0.07301471096269083,0.5360469657124151,0.5929298953472114,0.26993775220687416,1.0279724592464565,1.006215975765371,1.0457543404010246,0.9999999999999898,0.9829961201511895,1.006215975764375,0.033718627767708176,-0.012470589883453176,-0.9650059535651255,raw,9,,shuffled_labels,
0,isotropic,resp_shuffled_labels,galerkin_control,9,0.07301471096269083,0.5826324331851267,0.6038592838209501,0.26993775220687416,1.0702603581924997,1.0474580019316644,1.0457543404010246,0.9999999999999898,1.0234338188651975,1.0474580019306274,-0.04741678159700191,-0.09716826580850224,-0.9677328114507889,response,9,label,shuffled_labels,
0,isotropic,raw_shuffled_Kt,galerkin_control,9,0.07301471096269083,6.816221363391449,6.760505626976156,0.26993775220687416,3.266511787055738,3.1868728058956983,1.0457543404010246,0.9999999999999898,3.123593812481788,3.1868728058925435,-8.756838305374512,-9.156158280937413,-0.9968047889625109,raw,9,,shuffled_Kt,
0,isotropic,resp_shuffled_Kt,galerkin_control,9,0.07301471096269083,2.236560490361762,2.1773646042357693,0.26993775220687416,4.714722644742501,4.68535383210933,1.0457543404010246,0.9999999999999898,4.508441861144938,4.685353832104692,-19.32604801532403,-20.952540532018123,-0.998370226479114,response,9,label,shuffled_Kt,
0,isotropic,raw_actLR,activation_low_rank,9,0.07301471096269083,0.8033405262715012,0.7358534243875757,0.26993775220687416,1.4027614208143941,1.3255992819757711,1.0457543404010246,0.9999999999999898,1.341387137131196,1.3255992819744589,-0.7993194516610262,-0.757213456371201,-0.9820079561093817,raw,9,,,label
0,isotropic,resp_actLR,activation_low_rank,9,0.07301471096269083,0.840048191350795,0.8821794346440874,0.26993775220687416,1.0543880666363308,0.9874755624030129,1.0457543404010246,0.9999999999999898,1.0082559793450028,0.9874755624020355,-0.016580119884950673,0.024892013658783685,-0.9671579621307685,response,9,,,label
0,isotropic,raw_best_rank,best_rank_control,9,0.07301471096269083,2.1533817983008877e-16,0.07301471096269092,0.26993775220687416,0.26993775220687427,4.115719622116039e-16,1.0457543404010246,0.9999999999999898,0.258127307511916,4.115719622111965e-16,0.9333702931166488,1.0,-0.0015069693143860386,raw,,,,
0,isotropic,resp_best_rank,best_rank_control,9,0.07301471096269083,2.1533817983008877e-16,0.07301471096269092,0.26993775220687416,0.26993775220687427,4.115719622116039e-16,1.0457543404010246,0.9999999999999898,0.258127307511916,4.115719622111965e-16,0.9333702931166488,1.0,-0.0015069693143860386,response,,,,
0,label,raw,galerkin_main,9,0.07301471096269083,0.2579938785997683,0.3268098960963894,0.08201588137956892,0.3161903720805437,0.314340635044633,1.0309027225907055,0.9999999999999961,0.30671213214534554,0.31434063504431986,0.9059276679948561,0.9011899651599338,-0.9661782724631232,raw,9,,,
0,label,resp,galerkin_main,9,0.07301471096269083,0.5558274276235227,0.6027960386382227,0.08201588137956892,0.3405608273783447,0.33678071965488043,1.0309027225907055,0.9999999999999961,0.3303520496309967,0.336780719654545,0.8908675233045995,0.8865787468689668,-0.9707382390295318,response,9,label,,
0,label,raw_euclidean,galerkin_control,9,0.07301471096269083,0.06602639841886564,0.10515450463142631,0.08201588137956892,0.3625160185978307,0.3620090167090318,1.0309027225907055,0.9999999999999961,0.35164910389067533,0.3620090167086712,0.876342907732885,0.8689494718216211,-0.9743727071823154,raw,9,,euclidean_svd,
0,label,resp_euclidean,galerkin_control,9,0.07301471096269083,0.8678089340175625,0.8501967276699908,0.08201588137956892,0.8697245393723325,0.8496951390559023,1.0309027225907055,0.9999999999999961,0.8436533538158008,0.849695139055056,0.28824901859535135,0.27801817066620904,-0.9957202829398133,response,9,label,euclidean_svd,
0,label,raw_random,galerkin_control,9,0.07301471096269083,0.7805750569643842,0.8372708859440776,0.08201588137956892,0.4882846024253307,0.47161147941219933,1.0309027225907055,0.9999999999999961,0.4736476019752626,0.47161147941172954,0.7756579491430832,0.7775826124870798,-0.9859983622087101,raw,9,,random_A_orthonormal,
0,label,resp_random,galerkin_control,9,0.07301471096269083,1.0729427497759703,1.1410167731368384,0.08201588137956892,0.5831887299755134,0.577748194889915,1.0309027225907055,0.9999999999999961,0.5657068481780394,0.5777481948893395,0.6799757619244686,0.6662070233021098,-0.990061909850506,response,9,label,random_A_orthonormal,
0,label,raw_poly_y,galerkin_control,2,0.07301471096269083,0.6237637263587913,0.6689392532204741,0.08201588137956892,0.7571898281783684,0.762116551023336,1.0309027225907055,0.9999999999999961,0.7344920248874515,0.7621165510225768,0.46052146537673133,0.4191783626574521,-0.9941927598024068,raw,9,,single_seed_polynomial_y,
0,label,resp_poly_y,galerkin_control,2,0.07301471096269083,0.6237637263587913,0.6689392532204741,0.08201588137956892,0.7571898281783684,0.762116551023336,1.0309027225907055,0.9999999999999961,0.7344920248874515,0.7621165510225768,0.46052146537673133,0.4191783626574521,-0.9941927598024068,response,9,label,single_seed_polynomial_y,
0,label,raw_shuffled_labels,galerkin_control,9,0.07301471096269083,0.5360469657124151,0.5929298953472114,0.08201588137956892,0.32977103524940643,0.32776226982500767,1.0309027225907055,0.9999999999999961,0.31988569631512553,0.3277622698246812,0.8976731412929873,0.8925718944793729,-0.9689019004633714,raw,9,,shuffled_labels,
0,label,resp_shuffled_labels,galerkin_control,9,0.07301471096269083,0.5826324331851267,0.6038592838209501,0.08201588137956892,0.3973533625767976,0.39421564585311275,1.0309027225907055,0.9999999999999961,0.38544215071800864,0.39421564585272006,0.8514343484498759,0.8445940245649228,-0.9785602826621513,response,9,label,shuffled_labels,
0,label,raw_shuffled_Kt,galerkin_control,9,0.07301471096269083,6.090430649439349,6.017686935865101,0.08201588137956892,1.8369608301311873,1.8125454928783646,1.0309027225907055,0.9999999999999961,1.781895410570882,1.8125454928765592,-2.175151254213572,-2.285321163747129,-0.9990793876139674,raw,9,,shuffled_Kt,
0,label,resp_shuffled_Kt,galerkin_control,9,0.07301471096269083,1.4359060526174459,1.4972737347569196,0.08201588137956892,1.2693630518496843,1.2831819994713118,1.0309027225907055,0.9999999999999961,1.2313121539329004,1.2831819994700338,-0.5161296204228787,-0.6465560437639137,-0.9979937543246953,response,9,label,shuffled_Kt,
0,label,raw_actLR,activation_low_rank,9,0.07301471096269083,0.8033405262715012,0.7358534243875757,0.08201588137956892,0.6122558976120637,0.5946049116900274,1.0309027225907055,0.9999999999999961,0.593902687610372,0.5946049116894351,0.6472795976491769,0.6464449989947991,-0.9911893406379436,raw,9,,,label
0,label,resp_actLR,activation_low_rank,9,0.07301471096269083,0.840048191350795,0.8821794346440874,0.08201588137956892,0.4520875841936228,0.4364016471658812,1.0309027225907055,0.9999999999999961,0.4385356389951785,0.4364016471654465,0.8076864933310904,0.8095536023512852,-0.9835762122867052,response,9,,,label
0,label,raw_best_rank,best_rank_control,9,0.07301471096269083,0.3140411421479292,0.3817689790356316,0.08201588137956892,0.3006763317479069,0.29749856206402564,1.0309027225907055,0.9999999999999961,0.2916631464431503,0.2974985620637293,0.9149326090068814,0.9114946055700134,-0.9624569687765333,raw,,,,
