episode,lambda,basis,operator_kind,rank,point_model_to_T,point_operator_to_T,point_model_to_operator,E_model_to_T,E_model_to_operator,E_operator_to_T,E_model_to_zero,E_zero_to_T,R_use,R_sub,X_use,X_sub,cos_res
0,0.0,raw,galerkin,9,0.07301471096269083,0.2579938785997683,0.3268098960963894,0.08194370270496064,0.43389486313240044,0.44453600623146416,1.0238852143490422,0.9999999999999909,0.42377295526025827,0.44453600623102363,0.8204164823899871,0.8023877391641714,-0.9828871012698164
0,0.0,raw,actLR,9,0.07301471096269083,0.8033405262715012,0.7358534243875757,0.08194370270496064,0.7878265584395242,0.7899941201530619,1.0238852143490422,0.9999999999999909,0.7694481250416658,0.7899941201522791,0.40794958286986505,0.37590929012482643,-0.9946093304005018
0,0.0,response,galerkin,9,0.07301471096269083,0.5558274276235227,0.6027960386382227,0.08194370270496064,0.44768684008607973,0.4573793988683257,1.0238852143490422,0.9999999999999909,0.4372431927052187,0.45737939886787243,0.8088183904329469,0.7908040854912637,-0.9838329356492591
0,0.0,response,actLR,9,0.07301471096269083,0.840048191350795,0.8821794346440874,0.08194370270496064,0.5389795896762399,0.5376856705899834,1.0238852143490422,0.9999999999999909,0.526406263243465,0.5376856705894506,0.7228964460180518,0.7108941196427728,-0.988417772473357
0,0.1,raw,galerkin,9,0.07301471096269083,0.2579938785997683,0.3268098960963894,0.09637556807561586,0.4700147544182108,0.4979404098263111,1.0073020602363625,0.9999999999999905,0.46660755792304803,0.4979404098258179,0.7822773868890893,0.7520553482624965,-0.9818226971748791
0,0.1,raw,actLR,9,0.07301471096269083,0.8033405262715012,0.7358534243875757,0.09637556807561586,0.8460187063437276,0.8473795404327586,1.0073020602363625,0.9999999999999905,0.8398858095697432,0.8473795404319193,0.29459182688337704,0.2819479144573892,-0.9935232166620934
0,0.1,response,galerkin,9,0.07301471096269083,0.5558274276235227,0.6027960386382227,0.09637556807561586,0.46146781505754264,0.48742575087477874,1.0073020602363625,0.9999999999999905,0.45812257640851195,0.4874257508742959,0.7901237049848271,0.7624161373846288,-0.9808509624198196
0,0.1,response,actLR,9,0.07301471096269083,0.840048191350795,0.8821794346440874,0.09637556807561586,0.5697207751569021,0.5756731073205144,1.0073020602363625,0.9999999999999905,0.5655907970868759,0.5756731073199441,0.6801070502506323,0.6686004735086001,-0.9858939274444625
0,0.25,raw,galerkin,9,0.07301471096269083,0.2579938785997683,0.3268098960963894,0.12700197786150466,0.5248464523843694,0.5556805975941069,0.9995622181026728,0.9999999999999893,0.5250763212920212,0.5556805975935571,0.7242948568184382,0.6912190734580672,-0.9739775166991618
0,0.25,raw,actLR,9,0.07301471096269083,0.8033405262715012,0.7358534243875757,0.12700197786150466,0.9029860204698869,0.8981005379646,0.9995622181026728,0.9999999999999893,0.9033815045380504,0.8981005379637114,0.18390185725856834,0.1934154237092922,-0.9900701689708894
0,0.25,response,galerkin,9,0.07301471096269083,0.5558274276235227,0.6027960386382227,0.12700197786150466,0.5035310528193011,0.5298644399410841,0.9995622181026728,0.9999999999999893,0.5037515861439611,0.5298644399405599,0.7462343394574433,0.7192436752864768,-0.9710722076342128
0,0.25,response,actLR,9,0.07301471096269083,0.840048191350795,0.8821794346440874,0.12700197786150466,0.6149882755425359,0.6170816748751318,0.9995622181026728,0.9999999999999893,0.6152576241919845,0.6170816748745213,0.6214580558736348,0.6192102065340557,-0.9787546702904903
0,0.5,raw,galerkin,9,0.07301471096269083,0.2579938785997683,0.3268098960963894,0.18344632737811392,0.6346462694060809,0.6600354422768729,0.9941144858390971,0.9999999999999867,0.6384036028503899,0.6600354422762217,0.5924408398676417,0.5643532149392324,-0.9606006096155073
0,0.5,raw,actLR,9,0.07301471096269083,0.8033405262715012,0.7358534243875757,0.18344632737811392,1.0048146789866832,0.9843800991724889,0.9941144858390971,0.9999999999999867,1.0107635421261805,0.9843800991715176,-0.021642938091462893,0.0309958203550732,-0.9831997142348542
0,0.5,response,galerkin,9,0.07301471096269083,0.5558274276235227,0.6027960386382227,0.18344632737811392,0.6005837898258092,0.615340363283923,0.9941144858390971,0.9999999999999867,0.6041394611791351,0.6153403632833159,0.6350155114461844,0.6213562373143569,-0.9547644676410557
0,0.5,response,actLR,9,0.07301471096269083,0.840048191350795,0.8821794346440874,0.18344632737811392,0.7077091753749233,0.6944441793965175,0.9941144858390971,0.9999999999999867,0.7118990674166255,0.6944441793958323,0.493199717811339,0.5177472817032491,-0.9659420022044389
0,0.75,raw,galerkin,9,0.07301471096269083,0.2579938785997683,0.3268098960963894,0.2575873617272152,0.7926752713406082,0.8015172293069361,0.9999605635369678,0.9999999999999816,0.7927065328816949,0.8015172293061493,0.37161635272668236,0.3575701311253936,-0.947844644180691
0,0.75,raw,actLR,9,0.07301471096269083,0.8033405262715012,0.7358534243875757,0.2575873617272152,1.1435186071530297,1.097215682884749,0.9999605635369678,0.9999999999999816,1.1435637052596734,1.0972156828836719,-0.3077379479872333,-0.2038822547658825,-0.9744130164802585
0,0.75,response,galerkin,9,0.07301471096269083,0.5558274276235227,0.6027960386382227,0.2575873617272152,0.7521039477729825,0.7407826629327292,0.9999605635369678,0.9999999999999816,0.7521336092615073,0.740782662932002,0.43429503381925827,0.4512410462993719,-0.9405693219477841
0,0.75,response,actLR,9,0.07301471096269083,0.840048191350795,0.8821794346440874,0.2575873617272152,0.8457892651512156,0.8034725961187962,0.9999605635369678,0.9999999999999816,0.8458226214029104,0.8034725961180075,0.28458409312310884,0.3544317872873892,-0.9524988659989224
0,0.9,raw,galerkin,9,0.07301471096269083,0.2579938785997683,0.3268098960963894,0.3251457748117343,0.9420509748863787,0.929402718365392,1.0205225295214602,0.9999999999999754,0.923106494598604,0.9294027183644854,0.14787439962987736,0.13621058709670508,-0.9397176454632309
0,0.9,raw,actLR,9,0.07301471096269083,0.8033405262715012,0.7358534243875757,0.3251457748117343,1.268083130961354,1.1940388373090158,1.0205225295214602,0.9999999999999754,1.2425822010560967,1.1940388373078512,-0.5440105263814141,-0.4257287449994851,-0.9668996315163633
0,0.9,response,galerkin,9,0.07301471096269083,0.5558274276235227,0.6027960386382227,0.3251457748117343,0.9026591321280418,0.8610089790744446,1.0205225295214602,0.9999999999999754,0.8845068149063098,0.8610089790736047,0.2176476943842951,0.2586635379546288,-0.9331025743991592
0,0.9,response,actLR,9,0.07301471096269083,0.840048191350795,0.8821794346440874,0.3251457748117343,0.9794088226717963,0.9046281211235556,1.0205225295214602,0.9999999999999754,0.9597130826010254,0.9046281211226732,0.07895079908443736,0.18164796247406212,-0.9434946188942642
