episode,basis,layer,rank,candidate_dim,r_eff_T_task,r_eff_T_task_strict,op_excess_over_krr_risk,op_signal_error,model_excess_over_krr_risk,model_signal_error,E_F_T,F_T_excess_over_krr_risk
0,response,0,0,128,24,46,27.830535686415086,0.9999999999999957,22.926894908086453,0.9076362592737294,0.0283725276610526,0.018742091771955908
0,response,0,1,128,24,46,9.560588379448507,0.5861132337775202,7.056729143715696,0.503548076432531,0.0283725276610526,0.018742091771955908
0,response,0,2,128,24,46,7.5877629305275205,0.5221509756745791,5.130443534158929,0.42935514669152547,0.0283725276610526,0.018742091771955908
0,response,0,3,128,24,46,5.861348661479363,0.45892106752841816,3.8164474674712694,0.37031291736837263,0.0283725276610526,0.018742091771955908
0,response,0,4,128,24,46,4.25293823082371,0.39091627760729797,2.69900403012945,0.3114160441331266,0.0283725276610526,0.018742091771955908
0,response,0,5,128,24,46,2.9251798959912203,0.32420186369830317,1.964612560399656,0.2656915089159367,0.0283725276610526,0.018742091771955908
0,response,0,6,128,24,46,1.659628205961117,0.24419941583829347,1.4918010790845704,0.23152328485271365,0.0283725276610526,0.018742091771955908
0,response,0,7,128,24,46,1.4760340095048499,0.2302965326313172,1.3139378133685824,0.21728343718888427,0.0283725276610526,0.018742091771955908
0,response,0,8,128,24,46,1.2992168065070915,0.21606281600340604,1.1194760195911373,0.20056105921762155,0.0283725276610526,0.018742091771955908
0,response,0,9,128,24,46,1.132855867209282,0.20175604051911092,0.9815524134302694,0.1878001629356881,0.0283725276610526,0.018742091771955908
0,response,0,10,128,24,46,0.9942026447120306,0.18900647135591828,0.928888175795676,0.18269259069657723,0.0283725276610526,0.018742091771955908
0,response,0,11,128,24,46,0.8640402229860547,0.17620011895302526,0.7583285950579545,0.16506991720166458,0.0283725276610526,0.018742091771955908
0,response,0,12,128,24,46,0.7418210576898354,0.16326338465973173,0.6795790360345642,0.15626409592393403,0.0283725276610526,0.018742091771955908
0,response,0,13,128,24,46,0.6299907346955511,0.15045488680058205,0.5740587863244305,0.14362081978647465,0.0283725276610526,0.018742091771955908
0,response,0,14,128,24,46,0.5241746257872498,0.1372388954453477,0.46643421462906687,0.1294596465875301,0.0283725276610526,0.018742091771955908
0,response,0,15,128,24,46,0.4264386050907226,0.1237848441324969,0.3676355306018546,0.11493385032087215,0.0283725276610526,0.018742091771955908
0,response,0,16,128,24,46,0.3499758660514304,0.11213940967876639,0.30265988231485164,0.1042837516133704,0.0283725276610526,0.018742091771955908
0,response,0,17,128,24,46,0.2809904786849682,0.10048124770520363,0.2512475611491868,0.09501455627226775,0.0283725276610526,0.018742091771955908
0,response,0,18,128,24,46,0.21705766107619068,0.08831343486804004,0.19748648699924878,0.08423797326043489,0.0283725276610526,0.018742091771955908
0,response,0,19,128,24,46,0.16280370162855223,0.0764841341695171,0.13690456328234324,0.07013716045296027,0.0283725276610526,0.018742091771955908
0,response,0,20,128,24,46,0.109382054500042,0.06269201882033461,0.10839237807547111,0.06240775923384543,0.0283725276610526,0.018742091771955908
0,response,0,21,128,24,46,0.0650928880422664,0.048362193180488115,0.08331111622413029,0.05471302082198302,0.0283725276610526,0.018742091771955908
0,response,0,22,128,24,46,0.05790482964044535,0.04561383751860018,0.07544142353666111,0.052064794007197386,0.0283725276610526,0.018742091771955908
0,response,0,23,128,24,46,0.05125949292306258,0.04291670490516412,0.06775939512917449,0.04934282125655556,0.0283725276610526,0.018742091771955908
0,response,0,24,128,24,46,0.045741103058330325,0.040540820481102566,0.06245570194481992,0.04737238650857424,0.0283725276610526,0.018742091771955908
0,response,0,25,128,24,46,0.041095421224606916,0.03842695176723663,0.057018519213428896,0.04526340115072018,0.0283725276610526,0.018742091771955908
0,response,0,26,128,24,46,0.0366971018882749,0.036312412309087425,0.051676908848802015,0.04309109010975058,0.0283725276610526,0.018742091771955908
0,response,0,27,128,24,46,0.03279692518463757,0.03432857545113625,0.048457880430556335,0.04172740951946056,0.0283725276610526,0.018742091771955908
0,response,0,28,128,24,46,0.02928291280233504,0.03243742374525106,0.044546380841226106,0.04000786996136134,0.0283725276610526,0.018742091771955908
